Pays;an_1971;an_1975;an_1980;an_1985;an_1990;an_1995;an_2000;an_2005;an_2010;an_2015;an_2017
Afrique du Sud;6,8;7,9;7,17;6,76;6,63;6,27;6,25;7,82;7,98;7,46;7,43
Albanie;1,77;1,8;2,55;2,34;1,73;0,58;1;1,27;1,35;1,33;1,51
Algerie;0,58;0,81;1,43;1,86;1,98;1,92;1,97;2,33;2,65;3,27;3,16
Allemagne;12,49;12,37;13,39;12,93;11,84;10,54;9,97;9,67;9,45;8,93;8,7
Angola;0,23;0,26;0,3;0,27;0,32;0,27;0,28;0,31;0,65;0,71;0,61
Arabie saoudite;2,08;3,03;10,21;8,93;9,26;10,23;11,3;12,47;15,28;16,84;16,16
Argentine;3,39;3,27;3,39;2,89;3,04;3,35;3,76;3,82;4,22;4,39;4,14
Armenie;0,01;0,01;0,01;0,01;5,61;1,05;1,12;1,39;1,41;1,61;1,76
Australie;10,86;12,85;13,96;13,84;15,03;15,66;17,36;18,18;17,42;15,72;15,63
Autriche;6,48;6,53;7,2;6,96;7,33;7,49;7,72;9,04;8,17;7,24;7,38
Azerbaidjan;0,01;0,01;0,01;0,01;7,47;4,21;3,39;3,46;2,6;3,19;3,12
Bahrein;13,15;19,59;20,11;21,72;21,53;23,86;23,82;23,13;20,59;21,92;19,97
Bangladesh;0,04;0,06;0,08;0,08;0,11;0,14;0,16;0,22;0,33;0,44;0,48
Belgique;12,21;11,81;12,74;10,25;10,66;10,99;11,1;10,25;9,51;8,24;7,96
Benin;0,1;0,14;0,11;0,11;0,05;0,04;0,21;0,34;0,5;0,5;0,61
Bielorussie;0,01;0,01;0,01;0,01;9,8;5,59;5,22;5,69;6,27;5,55;5,69
Birmanie;0,17;0,13;0,15;0,15;0,1;0,16;0,2;0,22;0,16;0,36;0,57
Bolivie;0,47;0,64;0,75;0,69;0,75;0,91;0,85;0,99;1,38;1,7;1,98
Bosnie_Herzegovine;0,01;0,01;0,01;0,01;5,37;0,85;3,64;4,19;5,5;5,44;6,37
Botswana;0,01;0,01;0,01;1,26;2,04;2,03;2,33;2,31;1,62;3,2;3,37
Bresil;0,9;1,2;1,39;1,15;1,23;1,4;1,67;1,66;1,88;2,19;2,04
Brunei;2,93;8,69;13,6;13,09;12,59;15,16;13,29;13,21;17,64;14,3;15,64
Bulgarie;7,48;8,41;9,6;9,17;8,55;6,27;5,16;6,07;6;6,09;6,05
Cambodge;0,01;0,01;0,01;0,01;0,01;0,14;0,16;0,2;0,32;0,52;0,67
