Pays,an_1971,an_1975,an_1980,an_1985,an_1990,an_1995,an_2000,an_2005,an_2010,an_2015,an_2017,_c0,Annee_71,Annee_75,Annee_80,Annee_85,Annee_90,Annee_95,Annee_00,Annee_05,Annee_10,Annee_15,Annee_17
Allemagne,"12,49","12,37","13,39","12,93","11,84","10,54","9,97","9,67","9,45","8,93","8,7",Allemagne,"21,32828","23,21292","27,52314","29,69399","34,18292","36,80154","40,31979","41,46945","44,55169","47,60956","49,38927"
Australie,"10,86","12,85","13,96","13,84","15,03","15,66","17,36","18,18","17,42","15,72","15,63",Australie,"22,3275","23,43009","25,59462","27,77392","29,85667","33,14682","37,93318","42,37034","44,47898","47,23263","48,11644"
Autriche,"6,48","6,53","7,2","6,96","7,33","7,49","7,72","9,04","8,17","7,24","7,38",Autriche,"21,37365","24,40549","28,79491","30,91061","35,36152","38,12562","43,82622","46,59187","48,90774","49,94206","51,1056"
Belgique,"12,21","11,81","12,74","10,25","10,66","10,99","11,1","10,25","9,51","8,24","7,96",Belgique,"20,8903","23,69289","27,55251","28,81099","33,16759","35,29631","40,19301","43,29008","44,81301","46,20168","47,12251"
Canada,"15,49","16,3","17,22","15,24","15,15","15,32","16,82","16,75","15,57","15,12","14,99",Canada,"22,22676","24,91441","28,29553","30,60435","32,48854","33,41558","38,85767","41,99924","42,16996","44,67005","45,41737"
Chili,"2,16","1,64","1,92","1,62","2,23","2,58","3,16","3,34","4,01","4,5","4,65",Chili,"0,00001","0,00001","0,00001","0,00001","8,72919","12,12095","14,25569","16,96767","19,61771","22,56358","22,70513"
Colombie,"1,18","1,14","1,26","1,27","1,34","1,45","1,34","1,24","1,31","1,62","1,53",Colombie,"0,00001","5,6934","6,60163","6,84105","7,79066","8,94842","8,53454","9,57923","11,2284","13,33056","13,49149"
Danemark,"11,17","10,4","12,31","11,94","9,92","11,16","9,52","8,95","8,52","5,62","5,42",Danemark,"25,36842","26,22842","29,53278","33,88094","36,19577","39,91253","45,36334","47,74229","47,13428","49,05814","51,32997"
Espagne,"3,44","4,33","4,9","4,45","5,15","5,75","6,87","7,64","5,63","5,32","5,45",Espagne,"15,84829","18,88673","19,70925","20,62211","25,41036","27,12358","32,46784","35,44294","34,86013","34,92921","36,96044"
Estonie,"0,01","0,01","0,01","0,01","22,06","10,97","10,31","12,32","13,93","11,51","12,14",Estonie,"0,00001","0,00001","0,00001","0,00001","0,00001","11,8719","16,36839","23,63698","23,37259","27,38759","29,88818"
Finlande,"8,64","9,38","11,48","9,85","10,8","10,91","10,55","10,47","11,56","7,74","7,73",Finlande,"17,38625","20,61694","23,75178","26,66675","31,05784","29,70025","37,61522","42,22833","43,25359","42,49021","44,8527"
France,"8,07","7,85","8,25","6,21","5,94","5,78","5,99","5,89","5,25","4,39","4,56",France,"20,38313","22,75396","26,27306","27,67248","31,77868","33,15878","37,45037","39,25322","39,73093","40,82989","41,88643"
Grece,"2,81","3,73","4,64","5,43","6,81","7,24","8,14","8,66","7,5","5,97","5,88",Grece,"16,86929","19,51528","22,4559","21,9466","22,81953","23,59802","27,58757","32,82996","31,90469","26,76015","27,08648"
Hongrie,"5,81","6,66","7,72","7,54","6,34","5,45","5,22","5,42","4,71","4,34","4,68",Hongrie,"0,00001","0,00001","0,00001","0,00001","0,00001","16,17489","18,89779","23,76764","23,82896","26,79885","28,71939"
Irlande,"7,27","6,66","7,61","7,47","8,59","9,06","10,76","10,67","8,67","7,62","7,44",Irlande,"13,8975","16,00308","18,67928","20,34693","25,86238","31,5787","46,87264","55,60329","51,69735","69,1659","75,20183"
Islande,"6,82","7,4","7,66","6,76","7,44","7,36","7,69","7,55","6,13","6,22","6,34",Islande,"18,98667","21,65295","28,04849","29,71685","32,91342","31,77483","39,18809","45,51855","44,78587","49,20329","52,4994"
Israel,"4,52","4,75","4,86","5,74","7,04","8,09","8,7","8,45","8,98","7,69","7,32",Israel,"15,20288","17,68142","18,33307","19,65607","22,14355","25,62317","28,97591","29,09439","32,74799","35,87715","37,60964"
Italie,"5,35","5,72","6,3","6,04","6,87","7,06","7,38","7,84","6,55","5,43","5,31",Italie,"19,45817","21,77549","26,59287","28,8275","33,54195","35,70698","39,47206","40,44096","38,76049","37,20633","38,46131"
Japon,"7,15","7,6","7,44","7,16","8,39","8,86","8,87","9,11","8,62","9,07","8,94",Japon,"17,02735","19,07462","22,56949","26,74154","33,21403","35,30595","36,77269","38,72589","38,54565","40,90878","42,04131"
Lettonie,"0,01","0,01","0,01","0,01","7,05","3,58","2,89","3,39","3,86","3,46","3,44",Lettonie,"0,00001","0,00001","0,00001","0,00001","0,00001","9,00389","12,18406","19,07067","19,86213","24,97548","26,90575"
Lituanie,"0,01","0,01","0,01","0,01","8,71","3,7","2,92","3,75","3,98","3,63","3,83",Lituanie,"0,00001","0,00001","0,00001","0,00001","0,00001","9,97812","12,98501","19,74302","22,45258","28,83446","31,66056"
Luxembourg,"48,16","35,49","34,2","28,16","28,13","20,06","18,44","24,64","20,96","14,46","14,51",Luxembourg,"36,93722","39,60339","43,64499","49,04862","67,51736","76,43292","94,48512","103,40281","108,84071","107,8983","109,4605"
Mexique,"1,75","2,21","2,91","3,06","2,95","3,08","3,57","3,85","3,86","3,66","3,62",Mexique,"10,08042","11,68025","13,92131","13,69549","13,46383","13,64454","16,53141","16,73842","16,89358","18,4548","18,94573"
Pologne,"8,76","9,96","11,69","11,35","9,07","8,71","7,57","7,76","7,98","7,35","7,96",Pologne,"0,00001","0,00001","0,00001","0,00001","10,95375","12,12034","15,68484","18,27113","22,68649","26,49581","28,70512"
Portugal,"1,65","1,96","2,41","2,37","3,79","4,71","5,62","5,85","4,5","4,54","4,93",Portugal,"12,515","13,82343","16,50574","16,83044","22,42682","24,32789","28,95972","29,62083","30,30845","29,66084","31,49661"
Suede,"10,13","9,65","8,8","6,99","6,09","6,45","5,86","5,44","4,91","3,79","3,74",Suede,"23,2926","25,9151","27,29928","29,98306","32,93202","33,00655","39,16896","43,8111","46,07802","49,10313","50,08559"
Suisse,"6,14","5,74","6,15","6,39",6,"5,84","5,79","5,88","5,51","4,51","4,39",Suisse,"42,72011","42,33402","46,15682","48,61398","54,01875","52,04704","57,09513","59,39324","63,77373","66,02021","67,06608"
Turquie,"1,15","1,49","1,61","1,9","2,34","2,58","3,13","3,15","3,67","4,12","4,71",Turquie,"7,93478","9,00103","9,12456","10,2201","12,2239","13,20601","15,06645","17,9667","19,6479","25,85591","27,97014"
