;Année_71;Année_75;Année_80;Année_85;Année_90;Année_95;Année_00;Année_05;Année_10;Année_15;Année_17
Australie;22,3275;23,43009;25,59462;27,77392;29,85667;33,14682;37,93318;42,37034;44,47898;47,23263;48,11644
Autriche;21,37365;24,40549;28,79491;30,91061;35,36152;38,12562;43,82622;46,59187;48,90774;49,94206;51,1056
Belgique;20,8903;23,69289;27,55251;28,81099;33,16759;35,29631;40,19301;43,29008;44,81301;46,20168;47,12251
Canada;22,22676;24,91441;28,29553;30,60435;32,48854;33,41558;38,85767;41,99924;42,16996;44,67005;45,41737
Chili;0,00001;0,00001;0,00001;0,00001;8,72919;12,12095;14,25569;16,96767;19,61771;22,56358;22,70513
Colombie;0,00001;5,6934;6,60163;6,84105;7,79066;8,94842;8,53454;9,57923;11,2284;13,33056;13,49149
RÂßøublique tchËø∞ue;0,00001;0,00001;0,00001;0,00001;22,04281;21,32353;23,36979;28,41453;31,25465;33,90931;36,40597
Danemark;25,36842;26,22842;29,53278;33,88094;36,19577;39,91253;45,36334;47,74229;47,13428;49,05814;51,32997
Estonie;0,00001;0,00001;0,00001;0,00001;0,00001;11,8719;16,36839;23,63698;23,37259;27,38759;29,88818
Finlande;17,38625;20,61694;23,75178;26,66675;31,05784;29,70025;37,61522;42,22833;43,25359;42,49021;44,8527
France;20,38313;22,75396;26,27306;27,67248;31,77868;33,15878;37,45037;39,25322;39,73093;40,82989;41,88643
Allemagne;21,32828;23,21292;27,52314;29,69399;34,18292;36,80154;40,31979;41,46945;44,55169;47,60956;49,38927
GrÁ∏¶e;16,86929;19,51528;22,4559;21,9466;22,81953;23,59802;27,58757;32,82996;31,90469;26,76015;27,08648
Hongrie;0,00001;0,00001;0,00001;0,00001;0,00001;16,17489;18,89779;23,76764;23,82896;26,79885;28,71939
Islande;18,98667;21,65295;28,04849;29,71685;32,91342;31,77483;39,18809;45,51855;44,78587;49,20329;52,4994
Irlande;13,8975;16,00308;18,67928;20,34693;25,86238;31,5787;46,87264;55,60329;51,69735;69,1659;75,20183
IsraÈº†;15,20288;17,68142;18,33307;19,65607;22,14355;25,62317;28,97591;29,09439;32,74799;35,87715;37,60964
Italie;19,45817;21,77549;26,59287;28,8275;33,54195;35,70698;39,47206;40,44096;38,76049;37,20633;38,46131
Japon;17,02735;19,07462;22,56949;26,74154;33,21403;35,30595;36,77269;38,72589;38,54565;40,90878;42,04131
Cor‰ªî;2,8268;3,83295;5,3502;7,85;12,35453;17,68819;22,41584;27,95717;33,57401;37,90236;39,98022
Lituanie;0,00001;0,00001;0,00001;0,00001;0,00001;9,97812;12,98501;19,74302;22,45258;28,83446;31,66056
Lettonie;0,00001;0,00001;0,00001;0,00001;0,00001;9,00389;12,18406;19,07067;19,86213;24,97548;26,90575
Luxembourg;36,93722;39,60339;43,64499;49,04862;67,51736;76,43292;94,48512;103,40281;108,84071;107,8983;109,4605
Mexique;10,08042;11,68025;13,92131;13,69549;13,46383;13,64454;16,53141;16,73842;16,89358;18,4548;18,94573
Pays-Bas;24,14626;26,39872;29,34319;30,29799;34,62497;37,49578;45,01675;46,95929;49,39633;50,28835;52,29681
Nouvelle-ZÂõõande;20,87597;22,86004;22,59658;25,27478;24,85068;26,47145;29,32371;33,24752;34,07289;37,24695;38,64987
NorvÂ§ôe;22,68858;26,53976;32,52149;37,92508;40,38935;47,21502;54,75201;59,30194;58,80584;60,35272;61,38758
Pologne;0,00001;0,00001;0,00001;0,00001;10,95375;12,12034;15,68484;18,27113;22,68649;26,49581;28,70512
Portugal;12,515;13,82343;16,50574;16,83044;22,42682;24,32789;28,95972;29,62083;30,30845;29,66084;31,49661
RÂßøublique slovaque;0,00001;0,00001;0,00001;0,00001;0,00001;13,82561;16,30942;20,89479;26,55167;30,06218;31,45391
SlovÂßãie;0,00001;0,00001;0,00001;0,00001;20,59867;20,11229;24,58298;29,12403;31,20438;31,63184;34,17154
Espagne;15,84829;18,88673;19,70925;20,62211;25,41036;27,12358;32,46784;35,44294;34,86013;34,92921;36,96044
SuÈáçe;23,2926;25,9151;27,29928;29,98306;32,93202;33,00655;39,16896;43,8111;46,07802;49,10313;50,08559
Suisse;42,72011;42,33402;46,15682;48,61398;54,01875;52,04704;57,09513;59,39324;63,77373;66,02021;67,06608
TÊÆ≤kiye;7,93478;9,00103;9,12456;10,2201;12,2239;13,20601;15,06645;17,9667;19,6479;25,85591;27,97014
Royaume-Uni;19,1373;20,32453;22,65573;25,34836;29,74719;31,79544;37,08056;40,76202;40,16036;42,91697;44,19391
„Éïats-Unis;25,79615;27,37933;31,09338;34,9231;39,21583;41,77205;48,70538;52,70477;52,88707;56,73107;58,19022
